6,113,0.923209,3
6,157,0.944444,3
113,157,0.953608,3

7,105,0.844952,3

9,103,0.908304,3

10,106,0.717647,3
10,170,0.652174,3
106,170,0.760870,3

12,107,0.731405,3


262,365,0.884626,3


391,392,0.920354,3

394,398,0.898780,3

413,517,0.730769,3

417,421,0.676056,3

522,665,0.907380,3

527,645,0.825911,3

530,679,0.903237,3

532,648,0.912397,3

536,704,0.959238,3

540,646,0.917318,3

542,652,0.845058,3

543,698,0.790361,3

707,708,0.768421,3

827,833,0.590361,3


879,887,0.946915,3

880,894,0.983294,3
880,898,0.983294,3
894,898,0.983294,3

881,895,0.916424,3
881,899,0.916424,3
895,899,0.916424,3


903,905,0.955009,3

998,1000,0.637681,3

1107,1110,0.700000,3

1132,1134,0.908658,3

1146,1153,0.830808,3

1242,1247,0.545455,3

1264,1266,0.709091,3



1398,1402,0.854111,3

1403,1404,0.636132,3
1403,1414,0.636132,3
1404,1414,0.839050,3

1407,1418,0.818182,3

1527,1539,0.571429,3

1528,1529,0.927224,3

